Samanea saman,1.28974589219132,103.853208199877,30213.545300006743,30239.07579986573
Samanea saman,1.28964919696517,103.853161699614,30208.37030002083,30228.383699866183
Samanea saman,1.28935967107873,103.853022700236,30192.901099994644,30196.369299865968
Samanea saman,1.28948236659345,103.85332539996,30226.58889998829,30209.936599865243
Samanea saman,1.28957523546735,103.853369599931,30231.507900042343,30220.205599866993
Samanea saman,1.29000305266617,103.853573399663,30254.188700023275,30267.511599867597
Samanea saman,1.29052015563119,103.853819700297,30281.599400031944,30324.69039986756
Samanea saman,1.29105576270379,103.854074900339,30310.00049996675,30383.915299868564
Samanea saman,1.29174187396382,103.854350900278,30340.716299997326,30459.782199868117
Samanea saman,1.31011999971929,103.815069999887,25969.10490005525,32491.93839989827
Sandoricum koetjape,1.30760000009634,103.840049999899,28749.144499959097,32213.283399893222
Shorea gibbosa,1.39093105964765,103.979683799735,44288.550900011745,41428.1102000247
Shorea pauciflora,1.31118999966235,103.816880000376,26170.541699973845,32610.252099899713
Shorea roxburghii,1.30711999960435,103.817599999774,26250.66799998317,32160.211899892183
Sindora x changiensis,1.38890049031353,103.976973199862,43986.90930004799,41203.56090002144
Sloetia elongata,1.39012648996379,103.97471679977,43735.79240001913,41339.111000021476
Sloetia elongata,1.21804526048666,103.848252100246,29662.018800049358,22310.788199754934
Sonneratia alba,1.40734015007753,103.988525700188,45272.42209995586,43242.61390004945
Sonneratia alba,1.40736131963307,103.988291700254,45246.38090004572,43244.95300004867
Sterculia foetida,1.32194000031782,103.81699999992,26183.904300037004,33798.93189991662
Sterculia foetida,1.31313999976405,103.81364000005,25809.96200000865,32825.8756999036
Stereospermum fimbriatum,1.30718999972213,103.817109999807,26196.135600025027,32167.952499894305
Swietenia macrophylla,1.40611780999929,103.866396500118,31681.11619999899,43106.90530004745
Swietenia macrophylla,1.40643299988697,103.866705799871,31715.536499953327,43141.757900047145
Swietenia macrophylla,1.25448543039619,103.817603600388,26251.03300000485,26340.15309981202
Swietenia macrophylla,1.25491934026446,103.817757200485,26268.12789999202,26388.132499812626
Swietenia macrophylla,1.25485383009363,103.817795199677,26272.35690004281,26380.888699811214
Swietenia macrophylla,1.41517538027392,103.86198020028,31189.630599977336,44108.43930006194
Swietenia macrophylla,1.41502022002435,103.862226200145,31217.00709996039,44091.28280006112
Swietenia macrophylla,1.30293999962785,103.821180000249,26649.08659995334,31698.006799886334
Swietenia macrophylla,1.40639999986784,103.8671899996,31769.421299971378,43138.10970004773
Swietenia mahogoni,1.31156000034179,103.814789999766,25937.944700031487,32651.166499900915
Syzygium conglomeratum,1.40268999988786,103.787860000039,22941.07989994924,42727.89850004054
Syzygium syzygioides,1.39048612998638,103.97595809966,43873.93089994868,41378.88660002306
Tamarindus indica,1.35569514028451,103.884245800098,33667.616799973155,37531.45609996904
Tamarindus indica,1.28717112978111,103.853382299989,30232.92339995585,29954.371999861585
Tamarindus indica,1.30580360002097,103.841767900299,28940.331499997275,32014.647299890683
Tectona grandis,1.30822499954815,103.818054000393,26301.194800002857,32282.396799894846
Terminalia catappa,1.32013000025439,103.81630000008,26105.99989996076,33598.79189991297
Terminalia catappa,1.27526000013381,103.792400000296,23446.08489999906,28637.32829984335
Terminalia subspathulata,1.31111374031305,103.816253299843,26100.795800044907,32601.820199898983
Terminalia subspathulata,1.38766905027778,103.98039910031,44368.1771999803,41067.41750001887
Terminalia subspathulata,1.38775686036278,103.980857199708,44419.157300041436,41077.13030001921
Terminalia subspathulata,1.37000414851109,103.815910000001,26062.636099987536,39113.62079999082
Vitex pinnata [Vitex pubescens],1.25434306976948,103.81790619979,26284.710100045304,26324.41139981041
Adenanthera malayana,1.31425000031492,103.810339999933,25442.704599954828,32948.616999904436
Bhesa robusta,1.25662999953841,103.816219999781,26097.049500053592,26577.289399814777
Dipterocarpus oblongifolius,1.30928000012412,103.817390000082,26227.298500052748,32399.053799896854
Lagerstroemia loudonii,1.30812999992164,103.815379999816,26003.603400010034,32271.894199895505
Dryobalanops aromatica,1.30797000029427,103.816770000485,26158.297400037976,32254.201199894098
Dryobalanops aromatica,1.31081000048873,103.816399999878,26117.12189996939,32568.234099898415
Dryobalanops aromatica,1.30928999986215,103.816060000316,26079.281999975992,32400.160499895566
Durio zibethinus,1.40647300015651,103.964980200027,42652.13149999741,43146.5675000483
Dyera costulata,1.31103000036619,103.815820000368,26052.573599982057,32592.56099989951
Enterolobium cyclocarpum,1.29519178032698,103.845065800238,29307.362800042603,30841.24839987542
Erythrophleum suaveolens,1.4054099997515,103.808129999816,25196.857999964453,43028.62830004556
Erythrophleum suaveolens,1.31363000038111,103.813930000468,25842.23669998064,32880.0571999032
Erythroxylum cuneatum,1.390816889853,103.977443099848,44039.19029995858,41415.4705000229
Eucalyptus deglupta,1.29707736998688,103.886966899951,33970.58460000154,31049.807399876805
Ficus benghalensis,1.2878600000357,103.8243700004,27004.098700010043,30030.53669986237
Ficus caulocarpa,1.38861000019715,103.980050000275,44329.320300034684,41171.46090001921
Ficus caulocarpa,1.283229999686,103.795110000326,23747.699699945933,29518.605199856698
Ficus crassiramea,1.41247999986072,103.94368999972,40282.78969995286,43810.669600057816
Ficus drupacea,1.30743999981676,103.781600000311,22244.202199950687,32195.649699894017
Ficus drupacea,1.30763999995116,103.78185999988,22273.13819998822,32217.76409989431
Ficus drupacea,1.30767000027094,103.781590000162,22243.08979998229,32221.081999894028
Ficus drupacea,1.30771000017399,103.781539999674,22237.525299977133,32225.505099895185
Ficus elastica,1.29642999986383,103.849139999974,29760.784700016116,30978.166799876635
